sex,Ethnicity,numerator,denominator,percentage
Overall,Black,5300,39300,13.49
Overall,White,8600,141900,6.06
Female,Black,2700,24400,11.07
Female,White,2900,66100,4.39
Male,Black,2500,14900,16.78
Male,White,5700,75800,7.52
