Date,Occupation,Ethnicity,Numerator,Denominator,Percentage
Jan 2019-Dec 2019,Sales & consumer service occs.,White,2200,126100,1.744647105
Jan 2019-Dec 2019,"Process, plant & mach. Opers",White,1900,126100,1.506740682
Jan 2019-Dec 2019,Elementary occups.,White,4100,126100,3.251387787
Apr 2019-Mar 2020,"Managers, directors & seniors",White,14400,126300,11.40142518
Apr 2019-Mar 2020,Prof. occups.,White,47300,126300,37.45051465
Apr 2019-Mar 2020,Associate prof. & tech. occups.,White,41900,126300,33.17498021
Apr 2019-Mar 2020,Admin. & secretarial occups.,White,4800,126300,3.800475059
Apr 2019-Mar 2020,Skilled trades occups.,White,5900,126300,4.67141726
Apr 2019-Mar 2020,"Caring, leisure and other occs.",White,5200,126300,4.117181314
Apr 2019-Mar 2020,Sales & consumer service occs.,White,1800,126300,1.425178147
Apr 2019-Mar 2020,"Process, plant & mach. Opers",White,1900,126300,1.504354711
Apr 2019-Mar 2020,Elementary occups.,White,3200,126300,2.53365004
Jul 2019-Jun 2020,"Managers, directors & seniors",White,14600,132900,10.98570354
Jul 2019-Jun 2020,Prof. occups.,White,50800,132900,38.22422874
Jul 2019-Jun 2020,Associate prof. & tech. occups.,White,42200,132900,31.75319789
Jul 2019-Jun 2020,Admin. & secretarial occups.,White,5900,132900,4.439428141
Jul 2019-Jun 2020,Skilled trades occups.,White,5600,132900,4.213694507
Jul 2019-Jun 2020,"Caring, leisure and other occs.",White,6900,132900,5.191873589
Jul 2019-Jun 2020,Sales & consumer service occs.,White,2700,132900,2.031602709
Jul 2019-Jun 2020,"Process, plant & mach. Opers",White,2300,132900,1.73062453
Jul 2019-Jun 2020,Elementary occups.,White,2000,132900,1.504890895
Oct 2019-Sep 2020,"Managers, directors & seniors",White,18000,134400,13.39285714
Oct 2019-Sep 2020,Prof. occups.,White,52900,134400,39.36011905
Oct 2019-Sep 2020,Associate prof. & tech. occups.,White,39300,134400,29.24107143
Oct 2019-Sep 2020,Admin. & secretarial occups.,White,7800,134400,5.803571429
Oct 2019-Sep 2020,Skilled trades occups.,White,4500,134400,3.348214286
Oct 2019-Sep 2020,"Caring, leisure and other occs.",White,5400,134400,4.017857143
Oct 2019-Sep 2020,Sales & consumer service occs.,White,!,134400,#VALUE!
Oct 2019-Sep 2020,"Process, plant & mach. Opers",White,3200,134400,2.380952381
Oct 2019-Sep 2020,Elementary occups.,White,!,134400,#VALUE!
Jan 2020-Dec 2020,"Managers, directors & seniors",White,15300,135700,11.27487104
Jan 2020-Dec 2020,Prof. occups.,White,56000,135700,41.26750184
Jan 2020-Dec 2020,Associate prof. & tech. occups.,White,41600,135700,30.65585851
Jan 2020-Dec 2020,Admin. & secretarial occups.,White,8300,135700,6.116433309
Jan 2020-Dec 2020,Skilled trades occups.,White,3800,135700,2.800294768
Jan 2020-Dec 2020,"Caring, leisure and other occs.",White,4300,135700,3.168754606
Jan 2020-Dec 2020,Sales & consumer service occs.,White,3600,135700,2.652910833
Jan 2020-Dec 2020,"Process, plant & mach. Opers",White,1700,135700,1.252763449
Jan 2020-Dec 2020,Elementary occups.,White,!,135700,#VALUE!
Apr 2020-Mar 2021,"Managers, directors & seniors",White,18000,136500,13.18681319
Apr 2020-Mar 2021,Prof. occups.,White,57000,136500,41.75824176
Apr 2020-Mar 2021,Associate prof. & tech. occups.,White,39200,136500,28.71794872
Apr 2020-Mar 2021,Admin. & secretarial occups.,White,8000,136500,5.860805861
Apr 2020-Mar 2021,Skilled trades occups.,White,5000,136500,3.663003663
Apr 2020-Mar 2021,"Caring, leisure and other occs.",White,2600,136500,1.904761905
Apr 2020-Mar 2021,Sales & consumer service occs.,White,3100,136500,2.271062271
Apr 2020-Mar 2021,"Process, plant & mach. Opers",White,1900,136500,1.391941392
Apr 2020-Mar 2021,Elementary occups.,White,1600,136500,1.172161172
Jul 2020-Jun 2021,"Managers, directors & seniors",White,19900,132800,14.98493976
Jul 2020-Jun 2021,Prof. occups.,White,55500,132800,41.79216867
Jul 2020-Jun 2021,Associate prof. & tech. occups.,White,37200,132800,28.01204819
Jul 2020-Jun 2021,Admin. & secretarial occups.,White,6900,132800,5.195783133
Jul 2020-Jun 2021,Skilled trades occups.,White,3500,132800,2.635542169
Jul 2020-Jun 2021,"Caring, leisure and other occs.",White,2600,132800,1.957831325
Jul 2020-Jun 2021,Sales & consumer service occs.,White,2300,132800,1.731927711
Jul 2020-Jun 2021,"Process, plant & mach. Opers",White,2000,132800,1.506024096
Jul 2020-Jun 2021,Elementary occups.,White,2800,132800,2.108433735
