Date,Occupation,Ethnicity,Numerator,Denominator,Percentage
Jan 2017-Dec 2017,"Caring, leisure and other occs.",Black,6400,32400,19.75308642
Jan 2017-Dec 2017,Sales & consumer service occs.,Black,5000,32400,15.43209877
Jan 2017-Dec 2017,"Process, plant & mach. Opers",Black,!,32400,#VALUE!
Jan 2017-Dec 2017,Elementary occups.,Black,6000,32400,18.51851852
Apr 2017-Mar 2018,"Managers, directors & seniors",Black,2000,40100,4.987531172
Apr 2017-Mar 2018,Prof. occups.,Black,4700,40100,11.72069825
Apr 2017-Mar 2018,Associate prof. & tech. occups.,Black,4600,40100,11.4713217
Apr 2017-Mar 2018,Admin. & secretarial occups.,Black,2400,40100,5.985037406
Apr 2017-Mar 2018,Skilled trades occups.,Black,2400,40100,5.985037406
Apr 2017-Mar 2018,"Caring, leisure and other occs.",Black,6200,40100,15.46134663
Apr 2017-Mar 2018,Sales & consumer service occs.,Black,5800,40100,14.4638404
Apr 2017-Mar 2018,"Process, plant & mach. Opers",Black,!,40100,#VALUE!
Apr 2017-Mar 2018,Elementary occups.,Black,11000,40100,27.43142145
Jul 2017-Jun 2018,"Managers, directors & seniors",Black,1700,37200,4.569892473
Jul 2017-Jun 2018,Prof. occups.,Black,4200,37200,11.29032258
Jul 2017-Jun 2018,Associate prof. & tech. occups.,Black,3800,37200,10.21505376
Jul 2017-Jun 2018,Admin. & secretarial occups.,Black,1400,37200,3.76344086
Jul 2017-Jun 2018,Skilled trades occups.,Black,2000,37200,5.376344086
Jul 2017-Jun 2018,"Caring, leisure and other occs.",Black,5900,37200,15.86021505
Jul 2017-Jun 2018,Sales & consumer service occs.,Black,6100,37200,16.39784946
Jul 2017-Jun 2018,"Process, plant & mach. Opers",Black,2000,37200,5.376344086
Jul 2017-Jun 2018,Elementary occups.,Black,10100,37200,27.15053763
Oct 2017-Sep 2018,"Managers, directors & seniors",Black,!,36300,#VALUE!
Oct 2017-Sep 2018,Prof. occups.,Black,3900,36300,10.74380165
Oct 2017-Sep 2018,Associate prof. & tech. occups.,Black,3500,36300,9.641873278
Oct 2017-Sep 2018,Admin. & secretarial occups.,Black,3000,36300,8.26446281
Oct 2017-Sep 2018,Skilled trades occups.,Black,2500,36300,6.887052342
Oct 2017-Sep 2018,"Caring, leisure and other occs.",Black,5100,36300,14.04958678
Oct 2017-Sep 2018,Sales & consumer service occs.,Black,4700,36300,12.9476584
Oct 2017-Sep 2018,"Process, plant & mach. Opers",Black,2200,36300,6.060606061
Oct 2017-Sep 2018,Elementary occups.,Black,10600,36300,29.20110193
Jan 2018-Dec 2018,"Managers, directors & seniors",Black,!,30500,#VALUE!
Jan 2018-Dec 2018,Prof. occups.,Black,2600,30500,8.524590164
Jan 2018-Dec 2018,Associate prof. & tech. occups.,Black,3000,30500,9.836065574
Jan 2018-Dec 2018,Admin. & secretarial occups.,Black,3500,30500,11.47540984
Jan 2018-Dec 2018,Skilled trades occups.,Black,2200,30500,7.213114754
Jan 2018-Dec 2018,"Caring, leisure and other occs.",Black,3400,30500,11.14754098
Jan 2018-Dec 2018,Sales & consumer service occs.,Black,2900,30500,9.508196721
Jan 2018-Dec 2018,"Process, plant & mach. Opers",Black,2300,30500,7.540983607
Jan 2018-Dec 2018,Elementary occups.,Black,10000,30500,32.78688525
Apr 2018-Mar 2019,"Managers, directors & seniors",Black,1600,28300,5.653710247
Apr 2018-Mar 2019,Prof. occups.,Black,2700,28300,9.540636042
Apr 2018-Mar 2019,Associate prof. & tech. occups.,Black,4200,28300,14.8409894
Apr 2018-Mar 2019,Admin. & secretarial occups.,Black,2700,28300,9.540636042
Apr 2018-Mar 2019,Skilled trades occups.,Black,!,28300,#VALUE!
Apr 2018-Mar 2019,"Caring, leisure and other occs.",Black,3100,28300,10.9540636
Apr 2018-Mar 2019,Sales & consumer service occs.,Black,3400,28300,12.01413428
Apr 2018-Mar 2019,"Process, plant & mach. Opers",Black,2400,28300,8.480565371
Apr 2018-Mar 2019,Elementary occups.,Black,7200,28300,25.44169611
Jul 2018-Jun 2019,"Managers, directors & seniors",Black,1600,31200,5.128205128
Jul 2018-Jun 2019,Prof. occups.,Black,#,31200,#VALUE!
Jul 2018-Jun 2019,Associate prof. & tech. occups.,Black,6200,31200,19.87179487
Jul 2018-Jun 2019,Admin. & secretarial occups.,Black,2700,31200,8.653846154
Jul 2018-Jun 2019,Skilled trades occups.,Black,1800,31200,5.769230769
Jul 2018-Jun 2019,"Caring, leisure and other occs.",Black,2700,31200,8.653846154
Jul 2018-Jun 2019,Sales & consumer service occs.,Black,3600,31200,11.53846154
Jul 2018-Jun 2019,"Process, plant & mach. Opers",Black,1700,31200,5.448717949
Jul 2018-Jun 2019,Elementary occups.,Black,9700,31200,31.08974359
Oct 2018-Sep 2019,"Managers, directors & seniors",Black,1500,32400,4.62962963
Oct 2018-Sep 2019,Prof. occups.,Black,1800,32400,5.555555556
Oct 2018-Sep 2019,Associate prof. & tech. occups.,Black,7400,32400,22.83950617
Oct 2018-Sep 2019,Admin. & secretarial occups.,Black,!,32400,#VALUE!
Oct 2018-Sep 2019,Skilled trades occups.,Black,1700,32400,5.24691358
Oct 2018-Sep 2019,"Caring, leisure and other occs.",Black,1800,32400,5.555555556
Oct 2018-Sep 2019,Sales & consumer service occs.,Black,4200,32400,12.96296296
Oct 2018-Sep 2019,"Process, plant & mach. Opers",Black,2700,32400,8.333333333
Oct 2018-Sep 2019,Elementary occups.,Black,10300,32400,31.79012346
Jan 2019-Dec 2019,"Managers, directors & seniors",Black,1400,34400,4.069767442
Jan 2019-Dec 2019,Prof. occups.,Black,2000,34400,5.813953488
Jan 2019-Dec 2019,Associate prof. & tech. occups.,Black,8000,34400,23.25581395
Jan 2019-Dec 2019,Admin. & secretarial occups.,Black,!,34400,#VALUE!
Jan 2019-Dec 2019,Skilled trades occups.,Black,2300,34400,6.686046512
Jan 2019-Dec 2019,"Caring, leisure and other occs.",Black,1700,34400,4.941860465
Jan 2019-Dec 2019,Sales & consumer service occs.,Black,5500,34400,15.98837209
Jan 2019-Dec 2019,"Process, plant & mach. Opers",Black,2600,34400,7.558139535
Jan 2019-Dec 2019,Elementary occups.,Black,9800,34400,28.48837209
Apr 2019-Mar 2020,"Managers, directors & seniors",Black,1400,35300,3.966005666
Apr 2019-Mar 2020,Prof. occups.,Black,2100,35300,5.949008499
Apr 2019-Mar 2020,Associate prof. & tech. occups.,Black,7700,35300,21.81303116
Apr 2019-Mar 2020,Admin. & secretarial occups.,Black,2900,35300,8.21529745
Apr 2019-Mar 2020,Skilled trades occups.,Black,2400,35300,6.798866856
Apr 2019-Mar 2020,"Caring, leisure and other occs.",Black,2500,35300,7.082152975
Apr 2019-Mar 2020,Sales & consumer service occs.,Black,5700,35300,16.14730878
Apr 2019-Mar 2020,"Process, plant & mach. Opers",Black,2700,35300,7.648725212
Apr 2019-Mar 2020,Elementary occups.,Black,7800,35300,22.09631728
Jul 2019-Jun 2020,"Managers, directors & seniors",Black,!,26800,#VALUE!
