ethnicity,sex,numerator,denominator,percentage
White,Overall,8600,141900,6.060606061
White,Male,5700,75800,7.519788918
White,Female,2900,66100,4.387291982
Black,Overall,5300,39300,13.48600509
Black,Male,2500,14900,16.77852349
Black,Female,2700,24400,11.06557377
